TimeStamp_Tool0;Valid_Tool0;X_Tool0;Y_Tool0;Z_Tool0;QX_Tool0;QY_Tool0;QZ_Tool0;QR_Tool0;TimeStamp_Tool1;Valid_Tool1;X_Tool1;Y_Tool1;Z_Tool1;QX_Tool1;QY_Tool1;QZ_Tool1;QR_Tool1;
33;1;0;0;0;0;0;-1;0;33;1;10;0;0;0;0;-1;0.44852420869859067;
136;1;0;0;0;0;0;-1;0;136;1;10;0;0;0;0;-1;0.05763652574075839;
235;1;0;0;0;0;0;-1;0;235;1;10;0;0;0;0;-1;0.48373258878949765;
342;1;0;0;0;0;0;-1;0;342;1;10;0;0;0;0;-1;0.0032949564054042257;
418;1;0;0;0;0;0;-1;0;418;1;10;0;0;0;0;-1;0.7611824791493649;
522;1;0;0;0;0;0;-1;0;522;1;10;0;0;0;0;-1;0.7546269833746811;
623;1;0;0;0;0;0;-1;0;623;1;10;0;0;0;0;-1;0.8402182636786775;
713;1;0;0;0;0;0;-1;0;713;1;10;0;0;0;0;-1;0.57575388067724;
848;1;0;0;0;0;0;-1;0;848;1;10;0;0;0;0;-1;0.8423176436726455;
915;1;0;0;0;0;0;-1;0;915;1;10;0;0;0;0;-1;0.5921958236256922;
1020;1;0;0;0;0;0;-1;0;1020;1;10;0;0;0;0;-1;0.9862938687471001;
1150;1;0;0;0;0;0;-1;0;1150;1;10;0;0;0;0;-1;0.8458817989654794;
1249;1;0;0;0;0;0;-1;0;1249;1;10;0;0;0;0;-1;0.6156138365878303;
1313;1;0;0;0;0;0;-1;0;1313;1;10;0;0;0;0;-1;0.1864424859984517;
1431;1;0;0;0;0;0;-1;0;1431;1;10;0;0;0;0;-1;0.0861629067473817;
1517;1;0;0;0;0;0;-1;0;1517;1;10;0;0;0;0;-1;0.3208601288870745;
1641;1;0;0;0;0;0;-1;0;1641;1;10;0;0;0;0;-1;0.26799415094829815;
1720;1;0;0;0;0;0;-1;0;1720;1;10;0;0;0;0;-1;0.9597865205967209;
1829;1;0;0;0;0;0;-1;0;1829;1;10;0;0;0;0;-1;0.216670743826319;
